Involoved,Class,Sex,Age,Channel,Spending,Product,Location,Title,SpendingCat,AgeCat
0,3,male,22.0,0,7.25,XX,S,Mr,0,2
1,1,female,38.0,0,71.2833,C,C,Mrs,1,4
1,3,female,26.0,0,7.925,XX,S,Miss,0,2
1,1,female,35.0,0,53.1,C,S,Mrs,1,3
0,3,male,35.0,0,8.05,XX,S,Mr,0,3
0,3,male,32.368090452261306,0,8.4583,XX,Q,Mr,0,3
0,1,male,54.0,0,51.8625,E,S,Mr,1,7
0,3,male,2.0,1,21.075,XX,S,Master,0,0
1,3,female,27.0,2,11.1333,XX,S,Mrs,0,2
1,2,female,14.0,0,30.0708,XX,C,Mrs,0,1
1,3,female,4.0,1,16.7,G6,S,Miss,0,0
1,1,female,58.0,0,26.55,C,S,Miss,0,8
0,3,male,20.0,0,8.05,XX,S,Mr,0,1
0,3,male,39.0,5,31.275,XX,S,Mr,0,4
0,3,female,14.0,0,7.8542,XX,S,Miss,0,1
1,2,female,55.0,0,16.0,XX,S,Mrs,0,7
0,3,male,2.0,1,29.125,XX,Q,Master,0,0
1,2,male,32.368090452261306,0,13.0,XX,S,Mr,0,3
0,3,female,31.0,0,18.0,XX,S,Mrs,0,3
1,3,female,35.898148148148145,0,7.225,XX,C,Mrs,0,4
0,2,male,35.0,0,26.0,XX,S,Mr,0,3
1,2,male,34.0,0,13.0,D,S,Mr,0,3
1,3,female,15.0,0,8.0292,XX,Q,Miss,0,1
1,1,male,28.0,0,35.5,A,S,Mr,0,2
0,3,female,8.0,1,21.075,XX,S,Miss,0,0
1,3,female,38.0,5,31.3875,XX,S,Mrs,0,4
0,3,male,32.368090452261306,0,7.225,XX,C,Mr,0,3
0,1,male,19.0,2,263.0,C,S,Mr,4,1
1,3,female,21.773972602739725,0,7.8792,XX,Q,Miss,0,2
0,3,male,32.368090452261306,0,7.8958,XX,S,Mr,0,3
0,1,male,40.0,0,27.7208,XX,C,Rare,0,4
1,1,female,35.898148148148145,0,146.5208,B,C,Mrs,2,4
1,3,female,21.773972602739725,0,7.75,XX,Q,Miss,0,2
0,2,male,66.0,0,10.5,XX,S,Mr,0,9
0,1,male,28.0,0,82.1708,XX,C,Mr,1,2
0,1,male,42.0,0,52.0,XX,S,Mr,1,5
1,3,male,32.368090452261306,0,7.2292,XX,C,Mr,0,3
0,3,male,21.0,0,8.05,XX,S,Mr,0,2
0,3,female,18.0,0,18.0,XX,S,Miss,0,1
1,3,female,14.0,0,11.2417,XX,C,Miss,0,1
0,3,female,40.0,0,9.475,XX,S,Mrs,0,4
0,2,female,27.0,0,21.0,XX,S,Mrs,0,2
0,3,male,32.368090452261306,0,7.8958,XX,C,Mr,0,3
1,2,female,3.0,2,41.5792,XX,C,Miss,0,0
1,3,female,19.0,0,7.8792,XX,Q,Miss,0,1
0,3,male,32.368090452261306,0,8.05,XX,S,Mr,0,3
0,3,male,32.368090452261306,0,15.5,XX,Q,Mr,0,3
1,3,female,21.773972602739725,0,7.75,XX,Q,Miss,0,2
0,3,male,32.368090452261306,0,21.6792,XX,C,Mr,0,3
0,3,female,18.0,0,17.8,XX,S,Mrs,0,1
0,3,male,7.0,1,39.6875,XX,S,Master,0,0
0,3,male,21.0,0,7.8,XX,S,Mr,0,2
1,1,female,49.0,0,76.7292,D,C,Mrs,1,6
1,2,female,29.0,0,26.0,XX,S,Mrs,0,2
0,1,male,65.0,1,61.9792,B,C,Mr,1,8
1,1,male,32.368090452261306,0,35.5,C,S,Mr,0,3
1,2,female,21.0,0,10.5,XX,S,Miss,0,2
0,3,male,28.5,0,7.2292,XX,C,Mr,0,2
1,2,female,5.0,2,27.75,XX,S,Miss,0,0
0,3,male,11.0,2,46.9,XX,S,Master,0,0
0,3,male,22.0,0,7.2292,XX,C,Mr,0,2
1,1,female,38.0,0,80.0,B,,Miss,1,4
0,1,male,45.0,0,83.475,C,S,Mr,1,5
0,3,male,4.0,2,27.9,XX,S,Master,0,0
0,1,male,32.368090452261306,0,27.7208,XX,C,Mr,0,3
1,3,male,4.574166666666667,1,15.2458,XX,C,Master,0,0
1,2,female,29.0,0,10.5,F,S,Mrs,0,2
0,3,male,19.0,0,8.1583,XX,S,Mr,0,1
1,3,female,17.0,2,7.925,XX,S,Miss,0,1
0,3,male,26.0,0,8.6625,XX,S,Mr,0,2
0,2,male,32.0,0,10.5,XX,S,Mr,0,3
0,3,female,16.0,2,46.9,XX,S,Miss,0,1
0,2,male,21.0,0,73.5,XX,S,Mr,1,2
0,3,male,26.0,0,14.4542,XX,C,Mr,0,2
1,3,male,32.0,0,56.4958,XX,S,Mr,1,3
0,3,male,25.0,0,7.65,F,S,Mr,0,2
0,3,male,32.368090452261306,0,7.8958,XX,S,Mr,0,3
0,3,male,32.368090452261306,0,8.05,XX,S,Mr,0,3
1,2,male,0.83,2,29.0,XX,S,Master,0,0
1,3,female,30.0,0,12.475,XX,S,Miss,0,2
0,3,male,22.0,0,9.0,XX,S,Mr,0,2
1,3,male,29.0,0,9.5,XX,S,Mr,0,2
1,3,female,21.773972602739725,0,7.7875,XX,Q,Miss,0,2
0,1,male,28.0,0,47.1,XX,S,Mr,0,2
1,2,female,17.0,0,10.5,XX,S,Miss,0,1
1,3,female,33.0,0,15.85,XX,S,Mrs,0,3
0,3,male,16.0,3,34.375,XX,S,Mr,0,1
0,3,male,32.368090452261306,0,8.05,XX,S,Mr,0,3
1,1,female,23.0,2,263.0,C,S,Miss,4,2
0,3,male,24.0,0,8.05,XX,S,Mr,0,2
0,3,male,29.0,0,8.05,XX,S,Mr,0,2
0,3,male,20.0,0,7.8542,XX,S,Mr,0,1
0,1,male,46.0,0,61.175,E,S,Mr,1,6
0,3,male,26.0,2,20.575,XX,S,Mr,0,2
0,3,male,59.0,0,7.25,XX,S,Mr,0,8
0,3,male,32.368090452261306,0,8.05,XX,S,Mr,0,3
0,1,male,71.0,0,34.6542,A,C,Mr,0,9
1,1,male,23.0,1,63.3583,D,C,Mr,1,2
1,2,female,34.0,1,23.0,XX,S,Mrs,0,3
0,2,male,34.0,0,26.0,XX,S,Mr,0,3
0,3,female,28.0,0,7.8958,XX,S,Miss,0,2
0,3,male,32.368090452261306,0,7.8958,XX,S,Mr,0,3
0,1,male,21.0,1,77.2875,D,S,Mr,1,2
0,3,male,33.0,0,8.6542,XX,S,Mr,0,3
0,3,male,37.0,0,7.925,XX,S,Mr,0,4
0,3,male,28.0,0,7.8958,XX,S,Mr,0,2
1,3,female,21.0,0,7.65,XX,S,Miss,0,2
1,3,male,32.368090452261306,0,7.775,XX,S,Mr,0,3
0,3,male,38.0,0,7.8958,XX,S,Mr,0,4
1,3,female,21.773972602739725,0,24.15,XX,Q,Miss,0,2
0,1,male,47.0,0,52.0,C,S,Mr,1,6
0,3,female,14.5,0,14.4542,XX,C,Miss,0,1
0,3,male,22.0,0,8.05,XX,S,Mr,0,2
0,3,female,20.0,0,9.825,XX,S,Miss,0,1
0,3,female,17.0,0,14.4583,XX,C,Miss,0,1
0,3,male,21.0,0,7.925,XX,S,Mr,0,2
0,3,male,70.5,0,7.75,XX,Q,Mr,0,9
0,2,male,29.0,0,21.0,XX,S,Mr,0,2
0,1,male,24.0,1,247.5208,B,C,Mr,4,2
0,3,female,2.0,2,31.275,XX,S,Miss,0,0
0,2,male,21.0,0,73.5,XX,S,Mr,1,2
0,3,male,32.368090452261306,0,8.05,XX,S,Mr,0,3
0,2,male,32.5,0,30.0708,XX,C,Mr,0,3
1,2,female,32.5,0,13.0,E,S,Miss,0,3
0,1,male,54.0,1,77.2875,D,S,Mr,1,7
1,3,male,12.0,0,11.2417,XX,C,Master,0,0
0,3,male,32.368090452261306,0,7.75,XX,Q,Mr,0,3
1,3,male,24.0,0,7.1417,XX,S,Mr,0,2
1,3,female,21.773972602739725,1,22.3583,F,C,Miss,0,2
0,3,male,45.0,0,6.975,XX,S,Mr,0,5
0,3,male,33.0,0,7.8958,XX,C,Mr,0,3
0,3,male,20.0,0,7.05,XX,S,Mr,0,1
0,3,female,47.0,0,14.5,XX,S,Mrs,0,6
1,2,female,29.0,0,26.0,XX,S,Mrs,0,2
0,2,male,25.0,0,13.0,XX,S,Mr,0,2
0,2,male,23.0,0,15.0458,XX,C,Mr,0,2
1,1,female,19.0,2,26.2833,D,S,Miss,0,1
0,1,male,37.0,0,53.1,C,S,Mr,1,4
0,3,male,16.0,0,9.2167,XX,S,Mr,0,1
0,1,male,24.0,0,79.2,B,C,Mr,1,2
0,3,female,35.898148148148145,2,15.2458,XX,C,Mrs,0,4
1,3,female,22.0,0,7.75,XX,S,Miss,0,2
1,3,female,24.0,0,15.85,XX,S,Mrs,0,2
0,3,male,19.0,0,6.75,XX,Q,Mr,0,1
0,2,male,18.0,0,11.5,XX,S,Mr,0,1
0,2,male,19.0,1,36.75,XX,S,Mr,0,1
1,3,male,27.0,0,7.7958,XX,S,Mr,0,2
0,3,female,9.0,2,34.375,XX,S,Miss,0,0
0,2,male,36.5,2,26.0,F,S,Mr,0,4
0,2,male,42.0,0,13.0,XX,S,Rare,0,5
0,2,male,51.0,0,12.525,XX,S,Rare,0,7
1,1,female,22.0,0,66.6,C,S,Mrs,1,2
0,3,male,55.5,0,8.05,XX,S,Mr,0,8
0,3,male,40.5,2,14.5,XX,S,Mr,0,5
0,3,male,32.368090452261306,0,7.3125,XX,S,Mr,0,3
0,1,male,51.0,1,61.3792,XX,C,Mr,1,7
1,3,female,16.0,0,7.7333,XX,Q,Miss,0,1
0,3,male,30.0,0,8.05,XX,S,Mr,0,2
0,3,male,32.368090452261306,0,8.6625,XX,S,Mr,0,3
0,3,male,4.574166666666667,2,69.55,XX,S,Master,1,0
0,3,male,44.0,1,16.1,XX,S,Mr,0,5
1,2,female,40.0,0,15.75,XX,S,Mrs,0,4
0,3,male,26.0,0,7.775,XX,S,Mr,0,2
0,3,male,17.0,0,8.6625,XX,S,Mr,0,1
0,3,male,1.0,1,39.6875,XX,S,Master,0,0
1,3,male,9.0,2,20.525,XX,S,Master,0,0
1,1,female,35.898148148148145,1,55.0,E,S,Mrs,1,4
0,3,female,45.0,4,27.9,XX,S,Mrs,0,5
0,1,male,32.368090452261306,0,25.925,XX,S,Mr,0,3
0,3,male,28.0,0,56.4958,XX,S,Mr,1,2
0,1,male,61.0,0,33.5,B,S,Mr,0,8
0,3,male,4.0,1,29.125,XX,Q,Master,0,0
1,3,female,1.0,1,11.1333,XX,S,Miss,0,0
0,3,male,21.0,0,7.925,XX,S,Mr,0,2
0,1,male,56.0,0,30.6958,A,C,Mr,0,8
0,3,male,18.0,1,7.8542,XX,S,Mr,0,1
0,3,male,4.574166666666667,1,25.4667,XX,S,Master,0,0
0,1,female,50.0,0,28.7125,C,C,Miss,0,6
0,2,male,30.0,0,13.0,XX,S,Mr,0,2
0,3,male,36.0,0,0.0,XX,S,Mr,0,4
0,3,female,21.773972602739725,2,69.55,XX,S,Miss,1,2
0,2,male,32.368090452261306,0,15.05,XX,C,Mr,0,3
0,3,male,9.0,2,31.3875,XX,S,Master,0,0
1,2,male,1.0,1,39.0,F,S,Master,0,0
1,3,female,4.0,2,22.025,XX,S,Miss,0,0
0,1,male,32.368090452261306,0,50.0,A,S,Mr,0,3
1,3,female,35.898148148148145,0,15.5,XX,Q,Mrs,0,4
1,1,male,45.0,0,26.55,XX,S,Mr,0,5
0,3,male,40.0,1,15.5,XX,Q,Mr,0,4
0,3,male,36.0,0,7.8958,XX,S,Mr,0,4
1,2,female,32.0,0,13.0,XX,S,Mrs,0,3
0,2,male,19.0,0,13.0,XX,S,Mr,0,1
1,3,female,19.0,0,7.8542,XX,S,Miss,0,1
1,2,male,3.0,1,26.0,F,S,Master,0,0
1,1,female,44.0,0,27.7208,B,C,Mrs,0,5
1,1,female,58.0,0,146.5208,B,C,Miss,2,8
0,3,male,32.368090452261306,0,7.75,XX,Q,Mr,0,3
0,3,male,42.0,1,8.4042,XX,S,Mr,0,5
1,3,female,21.773972602739725,0,7.75,XX,Q,Miss,0,2
0,2,female,24.0,0,13.0,XX,S,Miss,0,2
0,3,male,28.0,0,9.5,XX,S,Mr,0,2
0,3,male,32.368090452261306,2,69.55,XX,S,Mr,1,3
0,3,male,34.0,0,6.4958,XX,S,Mr,0,3
0,3,male,45.5,0,7.225,XX,C,Mr,0,6
1,3,male,18.0,0,8.05,XX,S,Mr,0,1
0,3,female,2.0,1,10.4625,G6,S,Miss,0,0
0,3,male,32.0,0,15.85,XX,S,Mr,0,3
1,3,male,26.0,0,18.7875,XX,C,Mr,0,2
1,3,female,16.0,0,7.75,XX,Q,Miss,0,1
1,1,male,40.0,0,31.0,A,C,Mr,0,4
0,3,male,24.0,0,7.05,XX,S,Mr,0,2
1,2,female,35.0,0,21.0,XX,S,Miss,0,3
0,3,male,22.0,0,7.25,XX,S,Mr,0,2
0,2,male,30.0,0,13.0,XX,S,Mr,0,2
0,3,male,32.368090452261306,0,7.75,XX,Q,Mr,0,3
1,1,female,31.0,0,113.275,D,C,Miss,2,3
1,3,female,27.0,0,7.925,XX,S,Miss,0,2
0,2,male,42.0,0,27.0,XX,S,Mr,0,5
1,1,female,32.0,0,76.2917,D,C,Miss,1,3
0,2,male,30.0,0,10.5,XX,S,Mr,0,2
1,3,male,16.0,0,8.05,XX,S,Mr,0,1
0,2,male,27.0,0,13.0,XX,S,Mr,0,2
0,3,male,51.0,0,8.05,XX,S,Mr,0,7
0,3,male,32.368090452261306,0,7.8958,XX,S,Mr,0,3
1,1,male,38.0,0,90.0,C,S,Mr,1,4
0,3,male,22.0,0,9.35,XX,S,Mr,0,2
1,2,male,19.0,0,10.5,XX,S,Mr,0,1
0,3,male,20.5,0,7.25,XX,S,Mr,0,2
0,2,male,18.0,0,13.0,XX,S,Mr,0,1
0,3,female,21.773972602739725,1,25.4667,XX,S,Miss,0,2
1,1,female,35.0,0,83.475,C,S,Mrs,1,3
0,3,male,29.0,0,7.775,XX,S,Mr,0,2
0,2,male,59.0,0,13.5,XX,S,Mr,0,8
1,3,female,5.0,2,31.3875,XX,S,Miss,0,0
0,2,male,24.0,0,10.5,XX,S,Mr,0,2
0,3,female,21.773972602739725,0,7.55,XX,S,Miss,0,2
0,2,male,44.0,0,26.0,XX,S,Mr,0,5
1,2,female,8.0,2,26.25,XX,S,Miss,0,0
